"","region_name","date","crime_type","average_price","sales_volume","revenue","no_of_crime"
"1","Barking and Dagenham","202004","Arson and Criminal Damage",291603,52,15163350,82
"2","Barking and Dagenham","202004","Burglary",291603,52,15163350,86
"3","Barking and Dagenham","202004","Drug Offences",291603,52,15163350,161
"5","Barking and Dagenham","202004","Miscellaneous Crimes Against Society",291603,52,15163350,33
"6","Barking and Dagenham","202004","Possession of Weapons",291603,52,15163350,14
"7","Barking and Dagenham","202004","Public Order Offences",291603,52,15163350,70
"8","Barking and Dagenham","202004","Robbery",291603,52,15163350,32
"9","Barking and Dagenham","202004","Sexual Offences",291603,52,15163350,25
"10","Barking and Dagenham","202004","Theft",291603,52,15163350,172
"11","Barking and Dagenham","202004","Vehicle Offences",291603,52,15163350,148
"12","Barking and Dagenham","202004","Violence Against the Person",291603,52,15163350,455
"13","Newham","202004","Arson and Criminal Damage",367288,63,23139137,153
"14","Newham","202004","Burglary",367288,63,23139137,123
"15","Newham","202004","Drug Offences",367288,63,23139137,250
"17","Newham","202004","Miscellaneous Crimes Against Society",367288,63,23139137,37
"18","Newham","202004","Possession of Weapons",367288,63,23139137,29
"19","Newham","202004","Public Order Offences",367288,63,23139137,124
"20","Newham","202004","Robbery",367288,63,23139137,71
"21","Newham","202004","Sexual Offences",367288,63,23139137,30
"22","Newham","202004","Theft",367288,63,23139137,323
"23","Newham","202004","Vehicle Offences",367288,63,23139137,263
"24","Newham","202004","Violence Against the Person",367288,63,23139137,672
"25","Brent","202004","Arson and Criminal Damage",471354,61,28752593,147
"26","Brent","202004","Burglary",471354,61,28752593,129
"27","Brent","202004","Drug Offences",471354,61,28752593,197
"29","Brent","202004","Miscellaneous Crimes Against Society",471354,61,28752593,25
"30","Brent","202004","Possession of Weapons",471354,61,28752593,19
"31","Brent","202004","Public Order Offences",471354,61,28752593,171
"32","Brent","202004","Robbery",471354,61,28752593,50
"33","Brent","202004","Sexual Offences",471354,61,28752593,22
"34","Brent","202004","Theft",471354,61,28752593,252
"35","Brent","202004","Vehicle Offences",471354,61,28752593,317
"36","Brent","202004","Violence Against the Person",471354,61,28752593,707
"37","Redbridge","202004","Arson and Criminal Damage",419898,73,30652576,96
"38","Redbridge","202004","Burglary",419898,73,30652576,73
"39","Redbridge","202004","Drug Offences",419898,73,30652576,174
"41","Redbridge","202004","Miscellaneous Crimes Against Society",419898,73,30652576,19
"42","Redbridge","202004","Possession of Weapons",419898,73,30652576,21
"43","Redbridge","202004","Public Order Offences",419898,73,30652576,84
"44","Redbridge","202004","Robbery",419898,73,30652576,30
"45","Redbridge","202004","Sexual Offences",419898,73,30652576,27
"46","Redbridge","202004","Theft",419898,73,30652576,218
"47","Redbridge","202004","Vehicle Offences",419898,73,30652576,288
"48","Redbridge","202004","Violence Against the Person",419898,73,30652576,460
"49","Harrow","202004","Arson and Criminal Damage",453073,70,31715120,67
"50","Harrow","202004","Burglary",453073,70,31715120,61
"51","Harrow","202004","Drug Offences",453073,70,31715120,104
"53","Harrow","202004","Miscellaneous Crimes Against Society",453073,70,31715120,19
"54","Harrow","202004","Possession of Weapons",453073,70,31715120,13
"55","Harrow","202004","Public Order Offences",453073,70,31715120,76
"56","Harrow","202004","Robbery",453073,70,31715120,21
"57","Harrow","202004","Sexual Offences",453073,70,31715120,18
"58","Harrow","202004","Theft",453073,70,31715120,121
"59","Harrow","202004","Vehicle Offences",453073,70,31715120,188
"60","Harrow","202004","Violence Against the Person",453073,70,31715120,352
"61","Barking and Dagenham","201905","Arson and Criminal Damage",295187,111,32765807,151
"62","Barking and Dagenham","201905","Burglary",295187,111,32765807,135
"63","Barking and Dagenham","201905","Drug Offences",295187,111,32765807,96
"65","Barking and Dagenham","201905","Miscellaneous Crimes Against Society",295187,111,32765807,40
"66","Barking and Dagenham","201905","Possession of Weapons",295187,111,32765807,25
"67","Barking and Dagenham","201905","Public Order Offences",295187,111,32765807,112
"68","Barking and Dagenham","201905","Robbery",295187,111,32765807,132
"69","Barking and Dagenham","201905","Sexual Offences",295187,111,32765807,51
"70","Barking and Dagenham","201905","Theft",295187,111,32765807,322
"71","Barking and Dagenham","201905","Vehicle Offences",295187,111,32765807,231
"72","Barking and Dagenham","201905","Violence Against the Person",295187,111,32765807,529
"73","Barking and Dagenham","201912","Arson and Criminal Damage",299755,115,34471786,128
"74","Barking and Dagenham","201912","Burglary",299755,115,34471786,156
"75","Barking and Dagenham","201912","Drug Offences",299755,115,34471786,83
"77","Barking and Dagenham","201912","Miscellaneous Crimes Against Society",299755,115,34471786,19
"78","Barking and Dagenham","201912","Possession of Weapons",299755,115,34471786,7
"79","Barking and Dagenham","201912","Public Order Offences",299755,115,34471786,95
"80","Barking and Dagenham","201912","Robbery",299755,115,34471786,60
"81","Barking and Dagenham","201912","Sexual Offences",299755,115,34471786,56
"82","Barking and Dagenham","201912","Theft",299755,115,34471786,294
"83","Barking and Dagenham","201912","Vehicle Offences",299755,115,34471786,233
"84","Barking and Dagenham","201912","Violence Against the Person",299755,115,34471786,525
"85","Hackney","202004","Arson and Criminal Damage",576243,60,34574609,126
"86","Hackney","202004","Burglary",576243,60,34574609,157
"87","Hackney","202004","Drug Offences",576243,60,34574609,113
"89","Hackney","202004","Miscellaneous Crimes Against Society",576243,60,34574609,31
"90","Hackney","202004","Possession of Weapons",576243,60,34574609,22
"91","Hackney","202004","Public Order Offences",576243,60,34574609,129
"92","Hackney","202004","Robbery",576243,60,34574609,57
"93","Hackney","202004","Sexual Offences",576243,60,34574609,26
"94","Hackney","202004","Theft",576243,60,34574609,318
"95","Hackney","202004","Vehicle Offences",576243,60,34574609,157
"96","Hackney","202004","Violence Against the Person",576243,60,34574609,505
"97","Barking and Dagenham","201704","Arson and Criminal Damage",280567,125,35070876,152
"98","Barking and Dagenham","201704","Burglary",280567,125,35070876,133
"99","Barking and Dagenham","201704","Drug Offences",280567,125,35070876,51
"101","Barking and Dagenham","201704","Miscellaneous Crimes Against Society",280567,125,35070876,27
"102","Barking and Dagenham","201704","Possession of Weapons",280567,125,35070876,10
"103","Barking and Dagenham","201704","Public Order Offences",280567,125,35070876,83
"104","Barking and Dagenham","201704","Robbery",280567,125,35070876,66
"105","Barking and Dagenham","201704","Sexual Offences",280567,125,35070876,34
"106","Barking and Dagenham","201704","Theft",280567,125,35070876,320
"107","Barking and Dagenham","201704","Vehicle Offences",280567,125,35070876,215
"108","Barking and Dagenham","201704","Violence Against the Person",280567,125,35070876,406
"109","Barking and Dagenham","201901","Arson and Criminal Damage",297181,119,35364526,102
"110","Barking and Dagenham","201901","Burglary",297181,119,35364526,159
"111","Barking and Dagenham","201901","Drug Offences",297181,119,35364526,85
"113","Barking and Dagenham","201901","Miscellaneous Crimes Against Society",297181,119,35364526,17
"114","Barking and Dagenham","201901","Possession of Weapons",297181,119,35364526,11
"115","Barking and Dagenham","201901","Public Order Offences",297181,119,35364526,56
"116","Barking and Dagenham","201901","Robbery",297181,119,35364526,84
"117","Barking and Dagenham","201901","Sexual Offences",297181,119,35364526,50
"118","Barking and Dagenham","201901","Theft",297181,119,35364526,285
"119","Barking and Dagenham","201901","Vehicle Offences",297181,119,35364526,242
"120","Barking and Dagenham","201901","Violence Against the Person",297181,119,35364526,491
"121","Barking and Dagenham","201904","Arson and Criminal Damage",295463,120,35455614,135
"122","Barking and Dagenham","201904","Burglary",295463,120,35455614,123
"123","Barking and Dagenham","201904","Drug Offences",295463,120,35455614,110
"125","Barking and Dagenham","201904","Miscellaneous Crimes Against Society",295463,120,35455614,23
"126","Barking and Dagenham","201904","Possession of Weapons",295463,120,35455614,13
"127","Barking and Dagenham","201904","Public Order Offences",295463,120,35455614,103
"128","Barking and Dagenham","201904","Robbery",295463,120,35455614,95
"129","Barking and Dagenham","201904","Sexual Offences",295463,120,35455614,50
"130","Barking and Dagenham","201904","Theft",295463,120,35455614,313
"131","Barking and Dagenham","201904","Vehicle Offences",295463,120,35455614,247
"132","Barking and Dagenham","201904","Violence Against the Person",295463,120,35455614,472
"133","Barking and Dagenham","202003","Arson and Criminal Damage",300166,119,35719703,113
"134","Barking and Dagenham","202003","Burglary",300166,119,35719703,125
"135","Barking and Dagenham","202003","Drug Offences",300166,119,35719703,119
"137","Barking and Dagenham","202003","Miscellaneous Crimes Against Society",300166,119,35719703,15
"138","Barking and Dagenham","202003","Possession of Weapons",300166,119,35719703,15
"139","Barking and Dagenham","202003","Public Order Offences",300166,119,35719703,106
"140","Barking and Dagenham","202003","Robbery",300166,119,35719703,83
"141","Barking and Dagenham","202003","Sexual Offences",300166,119,35719703,57
"142","Barking and Dagenham","202003","Theft",300166,119,35719703,326
"143","Barking and Dagenham","202003","Vehicle Offences",300166,119,35719703,227
"144","Barking and Dagenham","202003","Violence Against the Person",300166,119,35719703,615
"145","Hillingdon","202004","Arson and Criminal Damage",402217,89,35797308,140
"146","Hillingdon","202004","Burglary",402217,89,35797308,110
"147","Hillingdon","202004","Drug Offences",402217,89,35797308,163
"149","Hillingdon","202004","Miscellaneous Crimes Against Society",402217,89,35797308,29
"150","Hillingdon","202004","Possession of Weapons",402217,89,35797308,12
"151","Hillingdon","202004","Public Order Offences",402217,89,35797308,128
"152","Hillingdon","202004","Robbery",402217,89,35797308,24
"153","Hillingdon","202004","Sexual Offences",402217,89,35797308,36
"154","Hillingdon","202004","Theft",402217,89,35797308,219
"155","Hillingdon","202004","Vehicle Offences",402217,89,35797308,206
"156","Hillingdon","202004","Violence Against the Person",402217,89,35797308,535
"157","Hounslow","202004","Arson and Criminal Damage",402412,89,35814671,127
"158","Hounslow","202004","Burglary",402412,89,35814671,133
"159","Hounslow","202004","Drug Offences",402412,89,35814671,195
"161","Hounslow","202004","Miscellaneous Crimes Against Society",402412,89,35814671,35
"162","Hounslow","202004","Possession of Weapons",402412,89,35814671,23
"163","Hounslow","202004","Public Order Offences",402412,89,35814671,126
"164","Hounslow","202004","Robbery",402412,89,35814671,43
"165","Hounslow","202004","Sexual Offences",402412,89,35814671,34
"166","Hounslow","202004","Theft",402412,89,35814671,226
"167","Hounslow","202004","Vehicle Offences",402412,89,35814671,281
"168","Hounslow","202004","Violence Against the Person",402412,89,35814671,567
"169","Bexley","202004","Arson and Criminal Damage",342040,105,35914186,83
"170","Bexley","202004","Burglary",342040,105,35914186,50
"171","Bexley","202004","Drug Offences",342040,105,35914186,89
"173","Bexley","202004","Miscellaneous Crimes Against Society",342040,105,35914186,17
"174","Bexley","202004","Possession of Weapons",342040,105,35914186,9
"175","Bexley","202004","Public Order Offences",342040,105,35914186,75
"176","Bexley","202004","Robbery",342040,105,35914186,9
"177","Bexley","202004","Sexual Offences",342040,105,35914186,20
"178","Bexley","202004","Theft",342040,105,35914186,115
"179","Bexley","202004","Vehicle Offences",342040,105,35914186,110
"180","Bexley","202004","Violence Against the Person",342040,105,35914186,338
"181","Kingston upon Thames","202004","Arson and Criminal Damage",487345,74,36063528,47
"182","Kingston upon Thames","202004","Burglary",487345,74,36063528,40
"183","Kingston upon Thames","202004","Drug Offences",487345,74,36063528,103
"185","Kingston upon Thames","202004","Miscellaneous Crimes Against Society",487345,74,36063528,6
"186","Kingston upon Thames","202004","Possession of Weapons",487345,74,36063528,5
"187","Kingston upon Thames","202004","Public Order Offences",487345,74,36063528,45
"188","Kingston upon Thames","202004","Robbery",487345,74,36063528,6
"189","Kingston upon Thames","202004","Sexual Offences",487345,74,36063528,24
"190","Kingston upon Thames","202004","Theft",487345,74,36063528,108
